,time,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,wind_gusts_10m_mean,temperature_2m_mean,surface_pressure_mean,cloud_cover_mean
0,2025-10-01,22.8,46.8,7,22.8,18.0,1013.8,20
1,2025-10-02,13.0,22.7,359,12.4,16.1,1015.7,10
2,2025-10-03,16.2,33.8,283,12.9,15.9,1012.7,94
3,2025-10-04,19.4,48.2,284,26.7,21.3,1009.2,79
4,2025-10-05,29.2,58.7,304,43.6,17.0,1013.7,31
5,2025-10-06,9.1,18.4,283,12.3,16.0,1018.0,23
6,2025-10-07,13.6,26.6,61,13.6,15.7,1019.7,58
7,2025-10-08,13.0,20.2,128,11.3,19.8,1017.3,68
8,2025-10-09,11.9,8.6,180,4.7,20.7,1014.3,56
9,2025-10-10,14.5,14.0,66,6.0,20.4,1013.3,17
10,2025-10-11,12.7,18.0,43,9.2,17.8,1015.0,84
11,2025-10-12,20.8,42.5,94,25.0,18.1,1013.3,98
12,2025-10-13,21.2,39.6,268,20.1,19.3,1006.6,100
13,2025-10-14,8.7,31.3,328,22.6,17.1,1006.3,47
14,2025-10-15,23.7,46.4,293,27.3,14.9,1006.4,20
15,2025-10-16,20.6,46.4,313,32.2,14.4,1007.9,93
